cus_id,cus_type,cus_fname,cus_lname,cus_address,cus_province,cus_zipcode,cus_id_card,cus_phone,cus_email
120,1,CUSfname120,CUSlname120,,,,,,
121,1,CUSfname121,CUSlname121,,,,,,
122,1,CUSfname122,CUSlname122,,,,,,
123,1,CUSfname123,CUSlname123,,,,,,
124,1,CUSfname124,CUSlname124,,,,,,
125,1,CUSfname125,CUSlname125,,,,,,
126,1,CUSfname126,CUSlname126,,,,,,
127,1,CUSfname127,CUSlname127,,,,,,
128,1,CUSfname128,CUSlname128,,,,,,
129,1,CUSfname129,CUSlname129,,,,,,
130,1,CUSfname130,CUSlname130,,,,,,
131,1,CUSfname131,CUSlname131,,,,,,
132,1,CUSfname132,CUSlname132,,,,,,
133,1,CUSfname133,CUSlname133,,,,,,
134,1,CUSfname134,CUSlname134,,,,,,
135,1,CUSfname135,CUSlname135,,,,,,
136,1,CUSfname136,CUSlname136,,,,,,
137,1,CUSfname137,CUSlname137,,,,,,
138,1,CUSfname138,CUSlname138,,,,,,
139,1,CUSfname139,CUSlname139,,,,,,
140,1,CUSfname140,CUSlname140,,,,,,
141,1,CUSfname141,CUSlname141,,,,,,
142,1,CUSfname142,CUSlname142,,,,,,
143,1,CUSfname143,CUSlname143,,,,,,
144,1,CUSfname144,CUSlname144,,,,,,
145,2,CUSfname145,CUSlname145,,,,,,
146,1,CUSfname146,CUSlname146,,,,,,
147,1,CUSfname147,CUSlname147,,,,,,
148,1,CUSfname148,CUSlname148,,,,,,
149,1,CUSfname149,CUSlname149,,,,,,
150,1,CUSfname150,CUSlname150,,,,,,
151,1,CUSfname151,CUSlname151,,,,,,
152,1,CUSfname152,CUSlname152,,,,,,
153,1,CUSfname153,CUSlname153,,,,,,
154,1,CUSfname154,CUSlname154,,,,,,
155,1,CUSfname155,CUSlname155,,,,,,
156,1,CUSfname156,CUSlname156,,,,,,
157,1,CUSfname157,CUSlname157,,,,,,
158,1,CUSfname158,CUSlname158,,,,,,
159,1,CUSfname159,CUSlname159,,,,,,
160,1,CUSfname160,CUSlname160,,,,,,
161,1,CUSfname161,CUSlname161,,,,,,
162,1,CUSfname162,CUSlname162,,,,,,
163,1,CUSfname163,CUSlname163,,,,,,
164,1,CUSfname164,CUSlname164,,,,,,
165,1,CUSfname165,CUSlname165,,,,,,
166,1,CUSfname166,CUSlname166,,,,,,
167,1,CUSfname167,CUSlname167,,,,,,
168,1,CUSfname168,CUSlname168,,,,,,
169,1,CUSfname169,CUSlname169,,,,,,
170,1,CUSfname170,CUSlname170,,,,,,
171,1,CUSfname171,CUSlname171,,,,,,
172,1,CUSfname172,CUSlname172,,,,,,
173,1,CUSfname173,CUSlname173,,,,,,
174,1,CUSfname174,CUSlname174,,,,,,
175,1,CUSfname175,CUSlname175,,,,,,
176,1,CUSfname176,CUSlname176,,,,,,
177,1,CUSfname177,CUSlname177,,,,,,
178,1,CUSfname178,CUSlname178,,,,,,
179,1,CUSfname179,CUSlname179,,,,,,
180,1,CUSfname180,CUSlname180,,,,,,
181,1,CUSfname181,CUSlname181,,,,,,
182,1,CUSfname182,CUSlname182,,,,,,
183,1,CUSfname183,CUSlname183,,,,,,
184,1,CUSfname184,CUSlname184,,,,,,
185,1,CUSfname185,CUSlname185,,,,,,
186,1,CUSfname186,CUSlname186,,,,,,
187,1,CUSfname187,CUSlname187,,,,,,
188,2,CUSfname188,CUSlname188,,,,,,
189,2,CUSfname189,CUSlname189,,,,,,
190,1,CUSfname190,CUSlname190,,,,,,
191,1,CUSfname191,CUSlname191,,,,,,
192,1,CUSfname192,CUSlname192,,,,,,
193,1,CUSfname193,CUSlname193,,,,,,
194,1,CUSfname194,CUSlname194,,,,,,
195,1,CUSfname195,CUSlname195,,,,,,
196,1,CUSfname196,CUSlname196,,,,,,
197,1,CUSfname197,CUSlname197,,,,,,
198,1,CUSfname198,CUSlname198,,,,,,
199,1,CUSfname199,CUSlname199,,,,,,
200,1,CUSfname200,CUSlname200,,,,,,
201,1,CUSfname201,CUSlname201,,,,,,
202,1,CUSfname202,CUSlname202,,,,,,
203,1,CUSfname203,CUSlname203,,,,,,
204,1,CUSfname204,CUSlname204,,,,,,
205,1,CUSfname205,CUSlname205,,,,,,
206,1,CUSfname206,CUSlname206,,,,,,
207,1,CUSfname207,CUSlname207,,,,,,
208,1,CUSfname208,CUSlname208,,,,,,
209,1,CUSfname209,CUSlname209,,,,,,
210,1,CUSfname210,CUSlname210,,,,,,
211,1,CUSfname211,CUSlname211,,,,,,
212,1,CUSfname212,CUSlname212,,,,,,
213,1,CUSfname213,CUSlname213,,,,,,
214,1,CUSfname214,CUSlname214,,,,,,
215,1,CUSfname215,CUSlname215,,,,,,
216,2,CUSfname216,CUSlname216,,,,,,
217,1,CUSfname217,CUSlname217,,,,,,
218,1,CUSfname218,CUSlname218,,,,,,
219,1,CUSfname219,CUSlname219,,,,,,
220,1,CUSfname220,CUSlname220,,,,,,
221,1,CUSfname221,CUSlname221,,,,,,
222,1,CUSfname222,CUSlname222,,,,,,
223,1,CUSfname223,CUSlname223,,,,,,
224,1,CUSfname224,CUSlname224,,,,,,
225,1,CUSfname225,CUSlname225,,,,,,
226,1,CUSfname226,CUSlname226,,,,,,
227,1,CUSfname227,CUSlname227,,,,,,
228,1,CUSfname228,CUSlname228,,,,,,
229,1,CUSfname229,CUSlname229,,,,,,
230,1,CUSfname230,CUSlname230,,,,,,
231,2,CUSfname231,CUSlname231,,,,,,
232,1,CUSfname232,CUSlname232,,,,,,
233,1,CUSfname233,CUSlname233,,,,,,
234,1,CUSfname234,CUSlname234,,,,,,
235,1,CUSfname235,CUSlname235,,,,,,
236,1,CUSfname236,CUSlname236,,,,,,
237,1,CUSfname237,CUSlname237,,,,,,
238,1,CUSfname238,CUSlname238,,,,,,
239,1,CUSfname239,CUSlname239,,,,,,
240,1,CUSfname240,CUSlname240,,,,,,
241,1,CUSfname241,CUSlname241,,,,,,
242,1,CUSfname242,CUSlname242,,,,,,
243,1,CUSfname243,CUSlname243,,,,,,
244,1,CUSfname244,CUSlname244,,,,,,
245,1,CUSfname245,CUSlname245,,,,,,
246,1,CUSfname246,CUSlname246,,,,,,
247,1,CUSfname247,CUSlname247,,,,,,
248,1,CUSfname248,CUSlname248,,,,,,
249,1,CUSfname249,CUSlname249,,,,,,
250,1,CUSfname250,CUSlname250,,,,,,
251,2,CUSfname251,CUSlname251,,,,,,
252,1,CUSfname252,CUSlname252,,,,,,
253,1,CUSfname253,CUSlname253,,,,,,
254,1,CUSfname254,CUSlname254,,,,,,
255,1,CUSfname255,CUSlname255,,,,,,
256,1,CUSfname256,CUSlname256,,,,,,
257,1,CUSfname257,CUSlname257,,,,,,
258,1,CUSfname258,CUSlname258,,,,,,
259,1,CUSfname259,CUSlname259,,,,,,
260,1,CUSfname260,CUSlname260,,,,,,
261,1,CUSfname261,CUSlname261,,,,,,
262,1,CUSfname262,CUSlname262,,,,,,
263,1,CUSfname263,CUSlname263,,,,,,
264,1,CUSfname264,CUSlname264,,,,,,
265,1,CUSfname265,CUSlname265,,,,,,
266,1,CUSfname266,CUSlname266,,,,,,
267,1,CUSfname267,CUSlname267,,,,,,
268,1,CUSfname268,CUSlname268,,,,,,
269,1,CUSfname269,CUSlname269,,,,,,
270,1,CUSfname270,CUSlname270,,,,,,
271,1,CUSfname271,CUSlname271,,,,,,
272,1,CUSfname272,CUSlname272,,,,,,
273,1,CUSfname273,CUSlname273,,,,,,
274,1,CUSfname274,CUSlname274,,,,,,
275,1,CUSfname275,CUSlname275,,,,,,
276,1,CUSfname276,CUSlname276,,,,,,
277,1,CUSfname277,CUSlname277,,,,,,
278,1,CUSfname278,CUSlname278,,,,,,
279,1,CUSfname279,CUSlname279,,,,,,
280,1,CUSfname280,CUSlname280,,,,,,
281,2,CUSfname281,CUSlname281,,,,,,
282,1,CUSfname282,CUSlname282,,,,,,
283,1,CUSfname283,CUSlname283,,,,,,
284,1,CUSfname284,CUSlname284,,,,,,
285,1,CUSfname285,CUSlname285,,,,,,
286,1,CUSfname286,CUSlname286,,,,,,
287,1,CUSfname287,CUSlname287,,,,,,
288,1,CUSfname288,CUSlname288,,,,,,
289,1,CUSfname289,CUSlname289,,,,,,
290,1,CUSfname290,CUSlname290,,,,,,
291,1,CUSfname291,CUSlname291,,,,,,
292,1,CUSfname292,CUSlname292,,,,,,
293,1,CUSfname293,CUSlname293,,,,,,
294,1,CUSfname294,CUSlname294,,,,,,
295,1,CUSfname295,CUSlname295,,,,,,
296,1,CUSfname296,CUSlname296,,,,,,
297,1,CUSfname297,CUSlname297,,,,,,
298,2,CUSfname298,CUSlname298,,,,,,
299,2,CUSfname299,CUSlname299,,,,,,
300,2,CUSfname300,CUSlname300,,,,,,
301,1,CUSfname301,CUSlname301,,,,,,
302,1,CUSfname302,CUSlname302,,,,,,
303,2,CUSfname303,CUSlname303,,,,,,
304,2,CUSfname304,CUSlname304,,,,,,
305,1,CUSfname305,CUSlname305,,,,,,
306,1,CUSfname306,CUSlname306,,,,,,
307,1,CUSfname307,CUSlname307,,,,,,
308,1,CUSfname308,CUSlname308,,,,,,
309,1,CUSfname309,CUSlname309,,,,,,
310,1,CUSfname310,CUSlname310,,,,,,
311,1,CUSfname311,CUSlname311,,,,,,
312,1,CUSfname312,CUSlname312,,,,,,
313,1,CUSfname313,CUSlname313,,,,,,
314,1,CUSfname314,CUSlname314,,,,,,
315,1,CUSfname315,CUSlname315,,,,,,
316,1,CUSfname316,CUSlname316,,,,,,
317,1,CUSfname317,CUSlname317,,,,,,
318,1,CUSfname318,CUSlname318,,,,,,
319,1,CUSfname319,CUSlname319,,,,,,
320,1,CUSfname320,CUSlname320,,,,,,
321,1,CUSfname321,CUSlname321,,,,,,
322,1,CUSfname322,CUSlname322,,,,,,
323,1,CUSfname323,CUSlname323,,,,,,
324,1,CUSfname324,CUSlname324,,,,,,
325,1,CUSfname325,CUSlname325,,,,,,
326,1,CUSfname326,CUSlname326,,,,,,
327,1,CUSfname327,CUSlname327,,,,,,
328,1,CUSfname328,CUSlname328,,,,,,
329,1,CUSfname329,CUSlname329,,,,,,
330,1,CUSfname330,CUSlname330,,,,,,
331,1,CUSfname331,CUSlname331,,,,,,
332,2,CUSfname332,CUSlname332,,,,,,
333,1,CUSfname333,CUSlname333,,,,,,
334,1,CUSfname334,CUSlname334,,,,,,
335,1,CUSfname335,CUSlname335,,,,,,
336,1,CUSfname336,CUSlname336,,,,,,
337,1,CUSfname337,CUSlname337,,,,,,
338,1,CUSfname338,CUSlname338,,,,,,
339,1,CUSfname339,CUSlname339,,,,,,
340,1,CUSfname340,CUSlname340,,,,,,
341,1,CUSfname341,CUSlname341,,,,,,
342,1,CUSfname342,CUSlname342,,,,,,
343,1,CUSfname343,CUSlname343,,,,,,
344,1,CUSfname344,CUSlname344,,,,,,
345,1,CUSfname345,CUSlname345,,,,,,
346,1,CUSfname346,CUSlname346,,,,,,
347,1,CUSfname347,CUSlname347,,,,,,
348,1,CUSfname348,CUSlname348,,,,,,
349,1,CUSfname349,CUSlname349,,,,,,
350,1,CUSfname350,CUSlname350,,,,,,
351,1,CUSfname351,CUSlname351,,,,,,
352,1,CUSfname352,CUSlname352,,,,,,
353,1,CUSfname353,CUSlname353,,,,,,
354,1,CUSfname354,CUSlname354,,,,,,
355,1,CUSfname355,CUSlname355,,,,,,
356,1,CUSfname356,CUSlname356,,,,,,
357,1,CUSfname357,CUSlname357,,,,,,
358,1,CUSfname358,CUSlname358,,,,,,
359,1,CUSfname359,CUSlname359,,,,,,
360,1,CUSfname360,CUSlname360,,,,,,
361,1,CUSfname361,CUSlname361,,,,,,
362,1,CUSfname362,CUSlname362,,,,,,
363,1,CUSfname363,CUSlname363,,,,,,
364,1,CUSfname364,CUSlname364,,,,,,
365,1,CUSfname365,CUSlname365,,,,,,
366,1,CUSfname366,CUSlname366,,,,,,
367,1,CUSfname367,CUSlname367,,,,,,
368,1,CUSfname368,CUSlname368,,,,,,
369,1,CUSfname369,CUSlname369,,,,,,
370,1,CUSfname370,CUSlname370,,,,,,
371,1,CUSfname371,CUSlname371,,,,,,
372,2,CUSfname372,CUSlname372,,,,,,
373,1,CUSfname373,CUSlname373,,,,,,
374,1,CUSfname374,CUSlname374,,,,,,
375,1,CUSfname375,CUSlname375,,,,,,
376,1,CUSfname376,CUSlname376,,,,,,
377,1,CUSfname377,CUSlname377,,,,,,
378,1,CUSfname378,CUSlname378,,,,,,
379,1,CUSfname379,CUSlname379,,,,,,
380,1,CUSfname380,CUSlname380,,,,,,
381,1,CUSfname381,CUSlname381,,,,,,
382,1,CUSfname382,CUSlname382,,,,,,
383,1,CUSfname383,CUSlname383,,,,,,
384,1,CUSfname384,CUSlname384,,,,,,
385,1,CUSfname385,CUSlname385,,,,,,
386,1,CUSfname386,CUSlname386,,,,,,
387,1,CUSfname387,CUSlname387,,,,,,
388,1,CUSfname388,CUSlname388,,,,,,
389,1,CUSfname389,CUSlname389,,,,,,
390,1,CUSfname390,CUSlname390,,,,,,
391,1,CUSfname391,CUSlname391,,,,,,
392,1,CUSfname392,CUSlname392,,,,,,
393,1,CUSfname393,CUSlname393,,,,,,
394,1,CUSfname394,CUSlname394,,,,,,
395,1,CUSfname395,CUSlname395,,,,,,
396,1,CUSfname396,CUSlname396,,,,,,
397,1,CUSfname397,CUSlname397,,,,,,
398,1,CUSfname398,CUSlname398,,,,,,
399,1,CUSfname399,CUSlname399,,,,,,
400,1,CUSfname400,CUSlname400,,,,,,
401,1,CUSfname401,CUSlname401,,,,,,
402,1,CUSfname402,CUSlname402,,,,,,
403,1,CUSfname403,CUSlname403,,,,,,
404,1,CUSfname404,CUSlname404,,,,,,
405,1,CUSfname405,CUSlname405,,,,,,
406,1,CUSfname406,CUSlname406,,,,,,
407,1,CUSfname407,CUSlname407,,,,,,
408,1,CUSfname408,CUSlname408,,,,,,
409,1,CUSfname409,CUSlname409,,,,,,
410,1,CUSfname410,CUSlname410,,,,,,
411,1,CUSfname411,CUSlname411,,,,,,
412,1,CUSfname412,CUSlname412,,,,,,
413,1,CUSfname413,CUSlname413,,,,,,
414,1,CUSfname414,CUSlname414,,,,,,
415,1,CUSfname415,CUSlname415,,,,,,
416,1,CUSfname416,CUSlname416,,,,,,
417,1,CUSfname417,CUSlname417,,,,,,
418,1,CUSfname418,CUSlname418,,,,,,
419,1,CUSfname419,CUSlname419,,,,,,
420,1,CUSfname420,CUSlname420,,,,,,
421,1,CUSfname421,CUSlname421,,,,,,
422,1,CUSfname422,CUSlname422,,,,,,
423,1,CUSfname423,CUSlname423,,,,,,
424,1,CUSfname424,CUSlname424,,,,,,
425,1,CUSfname425,CUSlname425,,,,,,
426,1,CUSfname426,CUSlname426,,,,,,
427,1,CUSfname427,CUSlname427,,,,,,
428,1,CUSfname428,CUSlname428,,,,,,
429,1,CUSfname429,CUSlname429,,,,,,
430,1,CUSfname430,CUSlname430,,,,,,
431,1,CUSfname431,CUSlname431,,,,,,
432,1,CUSfname432,CUSlname432,,,,,,
433,1,CUSfname433,CUSlname433,,,,,,
434,1,CUSfname434,CUSlname434,,,,,,
435,1,CUSfname435,CUSlname435,,,,,,
436,1,CUSfname436,CUSlname436,,,,,,
437,1,CUSfname437,CUSlname437,,,,,,
438,1,CUSfname438,CUSlname438,,,,,,
439,2,CUSfname439,CUSlname439,,,,,,
440,1,CUSfname440,CUSlname440,,,,,,
441,1,CUSfname441,CUSlname441,,,,,,
442,1,CUSfname442,CUSlname442,,,,,,
443,1,CUSfname443,CUSlname443,,,,,,
444,1,CUSfname444,CUSlname444,,,,,,
445,1,CUSfname445,CUSlname445,,,,,,
446,1,CUSfname446,CUSlname446,,,,,,
447,1,CUSfname447,CUSlname447,,,,,,
448,1,CUSfname448,CUSlname448,,,,,,
449,1,CUSfname449,CUSlname449,,,,,,
450,1,CUSfname450,CUSlname450,,,,,,
451,1,CUSfname451,CUSlname451,,,,,,
452,1,CUSfname452,CUSlname452,,,,,,
453,1,CUSfname453,CUSlname453,,,,,,
454,1,CUSfname454,CUSlname454,,,,,,
455,1,CUSfname455,CUSlname455,,,,,,
456,1,CUSfname456,CUSlname456,,,,,,
457,1,CUSfname457,CUSlname457,,,,,,
458,1,CUSfname458,CUSlname458,,,,,,
459,1,CUSfname459,CUSlname459,,,,,,
460,1,CUSfname460,CUSlname460,,,,,,
461,1,CUSfname461,CUSlname461,,,,,,
462,1,CUSfname462,CUSlname462,,,,,,
463,1,CUSfname463,CUSlname463,,,,,,
464,1,CUSfname464,CUSlname464,,,,,,
465,1,CUSfname465,CUSlname465,,,,,,
466,1,CUSfname466,CUSlname466,,,,,,
467,1,CUSfname467,CUSlname467,,,,,,
468,1,CUSfname468,CUSlname468,,,,,,
469,1,CUSfname469,CUSlname469,,,,,,
470,1,CUSfname470,CUSlname470,,,,,,
471,1,CUSfname471,CUSlname471,,,,,,
472,1,CUSfname472,CUSlname472,,,,,,
473,1,CUSfname473,CUSlname473,,,,,,
474,1,CUSfname474,CUSlname474,,,,,,
475,1,CUSfname475,CUSlname475,,,,,,
476,1,CUSfname476,CUSlname476,,,,,,
477,1,CUSfname477,CUSlname477,,,,,,
478,1,CUSfname478,CUSlname478,,,,,,
479,1,CUSfname479,CUSlname479,,,,,,
480,1,CUSfname480,CUSlname480,,,,,,
481,1,CUSfname481,CUSlname481,,,,,,
482,2,CUSfname482,CUSlname482,,,,,,
483,2,CUSfname483,CUSlname483,,,,,,
484,1,CUSfname484,CUSlname484,,,,,,
485,1,CUSfname485,CUSlname485,,,,,,
486,1,CUSfname486,CUSlname486,,,,,,
487,1,CUSfname487,CUSlname487,,,,,,
488,1,CUSfname488,CUSlname488,,,,,,
489,1,CUSfname489,CUSlname489,,,,,,
490,1,CUSfname490,CUSlname490,,,,,,
491,1,CUSfname491,CUSlname491,,,,,,
492,1,CUSfname492,CUSlname492,,,,,,
493,1,CUSfname493,CUSlname493,,,,,,
494,1,CUSfname494,CUSlname494,,,,,,
495,1,CUSfname495,CUSlname495,,,,,,
496,1,CUSfname496,CUSlname496,,,,,,
497,1,CUSfname497,CUSlname497,,,,,,
498,1,CUSfname498,CUSlname498,,,,,,
499,1,CUSfname499,CUSlname499,,,,,,
500,1,CUSfname500,CUSlname500,,,,,,
501,1,CUSfname501,CUSlname501,,,,,,
502,1,CUSfname502,CUSlname502,,,,,,
503,1,CUSfname503,CUSlname503,,,,,,
504,1,CUSfname504,CUSlname504,,,,,,
505,1,CUSfname505,CUSlname505,,,,,,
506,1,CUSfname506,CUSlname506,,,,,,
507,1,CUSfname507,CUSlname507,,,,,,
508,1,CUSfname508,CUSlname508,,,,,,
509,1,CUSfname509,CUSlname509,,,,,,
510,1,CUSfname510,CUSlname510,,,,,,
511,1,CUSfname511,CUSlname511,,,,,,
512,1,CUSfname512,CUSlname512,,,,,,
513,1,CUSfname513,CUSlname513,,,,,,
514,1,CUSfname514,CUSlname514,,,,,,
515,1,CUSfname515,CUSlname515,,,,,,
516,1,CUSfname516,CUSlname516,,,,,,
517,1,CUSfname517,CUSlname517,,,,,,
518,1,CUSfname518,CUSlname518,,,,,,
519,1,CUSfname519,CUSlname519,,,,,,
520,1,CUSfname520,CUSlname520,,,,,,
521,1,CUSfname521,CUSlname521,,,,,,
522,1,CUSfname522,CUSlname522,,,,,,
523,1,CUSfname523,CUSlname523,,,,,,
524,1,CUSfname524,CUSlname524,,,,,,
525,1,CUSfname525,CUSlname525,,,,,,
526,1,CUSfname526,CUSlname526,,,,,,
527,1,CUSfname527,CUSlname527,,,,,,
528,1,CUSfname528,CUSlname528,,,,,,
529,1,CUSfname529,CUSlname529,,,,,,
530,1,CUSfname530,CUSlname530,,,,,,
531,1,CUSfname531,CUSlname531,,,,,,
532,1,CUSfname532,CUSlname532,,,,,,
533,1,CUSfname533,CUSlname533,,,,,,
534,1,CUSfname534,CUSlname534,,,,,,
535,1,CUSfname535,CUSlname535,,,,,,
536,1,CUSfname536,CUSlname536,,,,,,
537,1,CUSfname537,CUSlname537,,,,,,
538,1,CUSfname538,CUSlname538,,,,,,
539,1,CUSfname539,CUSlname539,,,,,,
540,1,CUSfname540,CUSlname540,,,,,,
541,1,CUSfname541,CUSlname541,,,,,,
542,1,CUSfname542,CUSlname542,,,,,,
543,1,CUSfname543,CUSlname543,,,,,,
544,1,CUSfname544,CUSlname544,,,,,,
545,1,CUSfname545,CUSlname545,,,,,,
546,1,CUSfname546,CUSlname546,,,,,,
547,1,CUSfname547,CUSlname547,,,,,,
548,1,CUSfname548,CUSlname548,,,,,,
549,1,CUSfname549,CUSlname549,,,,,,
550,1,CUSfname550,CUSlname550,,,,,,
551,1,CUSfname551,CUSlname551,,,,,,
552,1,CUSfname552,CUSlname552,,,,,,
553,1,CUSfname553,CUSlname553,,,,,,
554,1,CUSfname554,CUSlname554,,,,,,
555,1,CUSfname555,CUSlname555,,,,,,
556,1,CUSfname556,CUSlname556,,,,,,
557,1,CUSfname557,CUSlname557,,,,,,
558,1,CUSfname558,CUSlname558,,,,,,
559,1,CUSfname559,CUSlname559,,,,,,
560,1,CUSfname560,CUSlname560,,,,,,
561,1,CUSfname561,CUSlname561,,,,,,
562,1,CUSfname562,CUSlname562,,,,,,
563,1,CUSfname563,CUSlname563,,,,,,
564,1,CUSfname564,CUSlname564,,,,,,
565,2,CUSfname565,CUSlname565,,,,,,
566,1,CUSfname566,CUSlname566,,,,,,
567,1,CUSfname567,CUSlname567,,,,,,
568,1,CUSfname568,CUSlname568,,,,,,
569,1,CUSfname569,CUSlname569,,,,,,
570,1,CUSfname570,CUSlname570,,,,,,
571,1,CUSfname571,CUSlname571,,,,,,
572,1,CUSfname572,CUSlname572,,,,,,
573,1,CUSfname573,CUSlname573,,,,,,
574,1,CUSfname574,CUSlname574,,,,,,
575,1,CUSfname575,CUSlname575,,,,,,
576,1,CUSfname576,CUSlname576,,,,,,
577,1,CUSfname577,CUSlname577,,,,,,
578,1,CUSfname578,CUSlname578,,,,,,
